model,unit_id,horizon,n,mean_residual,std_residual,shapiro_stat,shapiro_p,ljung_box_p
Prophet,705090,48,2208,6.797436041150687,3.4457938198265756,0.9308597160574036,8.352047385057524e-31,0.0
Prophet,705090,72,2208,6.8760927595369665,3.39622376106181,0.9291295663637487,4.017982403053727e-31,0.0
Prophet,705091,1,2208,0.9043306196722388,1.1474510321421858,0.9819020052576739,3.883038699027971e-16,0.0
Prophet,705091,2,2208,0.9045650108665174,1.1473602278727557,0.9818793093002695,3.7827307558353695e-16,0.0
Prophet,705091,3,2208,0.9048133067211458,1.1472420374855945,0.9818487394386257,3.6518371889432513e-16,0.0
Prophet,705091,4,2208,0.9055274025944414,1.1465403824558158,0.9817746231949303,3.3535528568824357e-16,0.0
Prophet,705091,12,2208,0.9156392175599148,1.1410802743695199,0.9809291892249294,1.2900022861106595e-16,0.0
Prophet,705091,24,2208,0.9207093577926372,1.1418341826893694,0.9805950490041372,8.915267727738247e-17,0.0
Prophet,705091,48,2208,0.9427290543809806,1.1378707096797194,0.9792483019738817,2.100673720596626e-17,0.0
Prophet,705091,72,2208,0.9505539618696957,1.1406982693786314,0.9789742328269927,1.5780987813185848e-17,0.0
Prophet,705092,1,2208,1.4043740641292137,1.1068432972740239,0.981634691721326,2.8570688444718854e-16,0.0
Prophet,705092,2,2208,1.4052772063916252,1.1068550297384814,0.9815249299652055,2.521133290472069e-16,0.0
Prophet,705092,3,2208,1.4061746099049315,1.1067854400231465,0.981402173277308,2.1933301851518653e-16,0.0
Prophet,705092,4,2208,1.4070668101617583,1.1066555081266407,0.9812733437959519,1.8963446816149347e-16,0.0
Prophet,705092,12,2208,1.4150053382750551,1.1042397253277128,0.9803787746136996,7.035649573703473e-17,0.0
Prophet,705092,24,2208,1.425458617769038,1.1074670080542466,0.9799771568246713,4.554443133100341e-17,0.0
Prophet,705092,48,2208,1.4368616872010624,1.108694343019167,0.978801317617194,1.3193052211217934e-17,0.0
Prophet,705092,72,2208,1.4518360060268294,1.1101507778263806,0.977300642610695,2.9067668867018506e-18,0.0
Prophet,21334825,1,2208,0.22160362354681035,0.9527534823014855,0.9492850434231802,5.7664268667378286e-27,0.0
Prophet,21334825,2,2208,0.2217181382837845,0.9527897638837483,0.9492563848112602,5.677459114164025e-27,0.0
Prophet,21334825,3,2208,0.2218333852675892,0.9528181233685404,0.9492208816804976,5.569196318704415e-27,0.0
Prophet,21334825,4,2208,0.22194929538740435,0.9528401510275579,0.9491800273085641,5.447237120340338e-27,0.0
Prophet,21334825,12,2208,0.2238009373121769,0.9529975040785539,0.9485559057821993,3.890469058460718e-27,0.0
Prophet,21334825,24,2208,0.22481478599473254,0.9520792495357674,0.9483676195596644,3.51698524370936e-27,0.0
Prophet,21334825,48,2208,0.23048319389346927,0.947001976954083,0.947802800046261,2.6026515602797752e-27,0.0
Prophet,21334825,72,2208,0.2269000097935791,0.943640762734135,0.948980584755384,4.890086281858948e-27,0.0
Prophet,21336305,1,2208,0.2593630676969826,0.8020012706305176,0.93025660399313,6.461273229725798e-31,0.0
Prophet,21336305,2,2208,0.25844750072672945,0.8028634924122077,0.9304080180224241,6.8902244160332e-31,0.0
